,Anti-social behaviour,Bicycle theft,Burglary,Criminal damage and arson,Drugs,Location,Other crime,Other theft,Possession of weapons,Public order,Robbery,Shoplifting,Theft from the person,Time,Vehicle crime,Violence and sexual offences,Latitude,Longitude
769,1014.0,172,824.0,832,115,Leicestershire Police,137,927,62,426,85.0,578,59,1514764800.0,757,2086,52.626506,-1.201724
770,1315.0,76,354.0,455,131,Lincolnshire Police,92,352,30,129,28.0,455,22,1514764800.0,276,890,53.051902,0.084476
771,2623.0,126,1221.0,1413,604,Merseyside Police,205,839,69,826,106.0,691,108,1514764800.0,1107,3282,53.486621,-2.875002
772,15921.0,1150,7643.0,4919,2897,Metropolitan Police Service,933,9002,583,3545,2858.0,3922,3593,1514764800.0,9483,17857,51.593835,0.145888
773,1212.0,93,297.0,578,149,Norfolk Constabulary,143,438,30,351,43.0,375,37,1514764800.0,235,1753,52.745153,0.946326
774,1117.0,21,317.0,590,112,North Wales Police,98,366,24,246,12.0,348,12,1514764800.0,159,1696,53.31958,-3.811975
775,1952.0,78,290.0,447,127,North Yorkshire Police,64,313,23,157,11.0,366,25,1514764800.0,265,1099,54.113705,-2.513759
776,1834.0,47,557.0,583,102,Northamptonshire Police,101,481,39,152,76.0,339,52,1514764800.0,551,1559,52.502162,-0.690547
777,4150.0,50,723.0,1218,491,Police Service of Northern Ireland,203,1056,78,73,45.0,514,32,1514764800.0,261,2691,54.59497,-5.922687
778,3781.0,143,818.0,2016,283,Northumbria Police,346,1387,104,1716,69.0,1095,167,1514764800.0,599,4291,54.967838,-1.754552
779,2080.0,93,744.0,1084,213,Nottinghamshire Police,154,1044,77,429,103.0,858,51,1514764800.0,720,2544,53.145769,-1.268696
780,2221.0,142,602.0,972,295,South Wales Police,213,760,45,787,63.0,779,72,1514764800.0,650,2989,51.637363,-3.648881
781,3805.0,85,1282.0,1480,175,South Yorkshire Police,249,1121,81,735,102.0,882,151,1514764800.0,1023,3314,53.59872,-1.461068
782,2542.0,69,519.0,946,163,Staffordshire Police,190,764,52,323,67.0,549,31,1514764800.0,501,2854,52.769868,-1.943961
783,575.0,63,446.0,556,109,Suffolk Constabulary,94,387,34,329,41.0,329,40,1514764800.0,396,1544,52.160886,0.71043
784,1756.0,87,545.0,728,242,Surrey Police,132,698,58,530,29.0,302,30,1514764800.0,520,1678,51.407868,-0.370967
785,2294.0,129,689.0,1142,274,Sussex Police,240,978,96,678,62.0,690,102,1514764800.0,691,3142,50.84423,-0.244128
786,2377.0,324,1202.0,1640,472,Thames Valley Police,221,1691,122,349,131.0,1352,266,1514764800.0,1409,3243,51.998128,-0.985426
787,1064.0,67,398.0,388,61,Warwickshire Police,51,348,27,139,38.0,300,17,1514764800.0,377,1023,52.639577,-1.636309
788,3008.0,65,663.0,877,225,West Mercia Police,117,744,66,267,46.0,603,83,1514764800.0,458,2353,52.432283,-2.10837
789,3514.0,180,2900.0,2199,409,West Midlands Police,314,1887,154,869,656.0,1714,244,1514764800.0,3437,5617,52.594185,-1.838265
790,3585.0,130,2554.0,2564,495,West Yorkshire Police,631,2035,185,1850,329.0,1599,311,1514764800.0,2135,8246,53.944327,-1.886875
791,1059.0,47,300.0,458,89,Wiltshire Police,75,382,23,176,27.0,337,21,1514764800.0,332,1235,51.634046,-1.720719
792,2338.0,212,772.0,1283,208,Avon and Somerset Constabulary,121,1031,57,1205,112.0,843,78,1517443200.0,843,3532,51.415233,-2.497799
793,1230.0,69,526.0,449,78,Bedfordshire Police,53,379,22,197,56.0,277,62,1517443200.0,506,972,52.224664,-0.533857
794,1245.0,212,411.0,546,110,Cambridgeshire Constabulary,76,606,41,306,40.0,453,63,1517443200.0,483,1267,52.228485,0.136532
795,1727.0,74,359.0,733,166,Cheshire Constabulary,144,565,42,1244,25.0,551,48,1517443200.0,220,2465,53.335696,-2.028703
796,78.0,15,22.0,20,18,City of London Police,8,158,6,33,9.0,54,44,1517443200.0,24,94,51.517577,-0.098062
797,2887.0,58,481.0,706,97,Cleveland Police,77,486,30,201,49.0,737,29,1517443200.0,390,1268,54.71119,-1.235446
798,744.0,20,165.0,395,70,Cumbria Constabulary,69,205,10,210,5.0,206,10,1517443200.0,131,949,54.877725,-3.380599
799,2474.0,46,507.0,573,171,Derbyshire Constabulary,81,466,41,143,57.0,497,52,1517443200.0,392,1100,53.099173,-1.376719
800,2496.0,48,373.0,1078,307,Devon & Cornwall Police,173,745,45,531,35.0,598,51,1517443200.0,480,3029,50.827132,-4.543901
801,1712.0,87,279.0,496,122,Dorset Police,42,426,26,169,17.0,341,20,1517443200.0,239,1212,50.771593,-1.896978
802,1279.0,43,311.0,729,99,Durham Constabulary,139,368,19,360,31.0,393,21,1517443200.0,329,1801,54.89599,-1.732115
803,784.0,4,146.0,320,136,Dyfed-Powys Police,57,217,17,114,6.0,141,5,1517443200.0,85,748,52.101675,-4.059557
804,3238.0,141,949.0,1183,276,Essex Police,266,1011,138,687,117.0,852,119,1517443200.0,1157,3618,51.636915,0.407541
805,1458.0,44,289.0,340,80,Gloucestershire Constabulary,38,295,23,80,32.0,290,31,1517443200.0,422,727,51.908526,-2.088146
806,4428.0,251,2316.0,2861,422,Greater Manchester Police,584,1903,265,3630,500.0,1505,614,1517443200.0,2391,7939,53.619073,-2.423752
807,1073.0,15,301.0,689,96,Gwent Police,108,367,19,402,10.0,289,29,1517443200.0,278,1122,51.802661,-3.210621
808,2971.0,246,851.0,1355,293,Hampshire Constabulary,239,998,100,1031,83.0,1056,100,1517443200.0,1086,4116,51.357251,-1.133567
809,1903.0,73,583.0,742,260,Hertfordshire Constabulary,125,683,244,472,59.0,707,146,1517443200.0,654,1720,51.776773,-0.008469
810,1211.0,175,593.0,891,70,Humberside Police,144,591,22,313,56.0,796,46,1517443200.0,392,1967,54.103989,-0.201317
811,2218.0,116,863.0,1571,291,Kent Police,376,1147,116,1235,112.0,914,84,1517443200.0,1065,5049,51.18331,0.937911
812,4038.0,76,884.0,1395,193,Lancashire Constabulary,243,1046,36,680,66.0,816,110,1517443200.0,725,4265,53.770335,-2.474098
813,872.0,130,664.0,701,148,Leicestershire Police,151,785,57,423,74.0,544,58,1517443200.0,679,2003,52.626506,-1.201724
814,1357.0,66,299.0,392,138,Lincolnshire Police,33,330,37,137,18.0,405,15,1517443200.0,220,759,53.051902,0.084476
815,2517.0,137,1001.0,1290,575,Merseyside Police,244,814,68,849,118.0,633,131,1517443200.0,858,3206,53.486621,-2.875002
816,14002.0,1029,6614.0,4257,2631,Metropolitan Police Service,797,8339,504,3365,2474.0,3637,3368,1517443200.0,8801,16215,51.593835,0.145888
817,1104.0,73,264.0,547,173,Norfolk Constabulary,115,416,53,335,17.0,363,40,1517443200.0,208,1622,52.745153,0.946326
818,1007.0,18,272.0,529,112,North Wales Police,90,391,24,290,16.0,296,6,1517443200.0,131,1576,53.31958,-3.811975
819,2008.0,52,258.0,447,120,North Yorkshire Police,74,352,32,130,19.0,358,24,1517443200.0,189,945,54.113705,-2.513759
820,1477.0,36,432.0,474,102,Northamptonshire Police,97,445,38,130,53.0,324,40,1517443200.0,573,1348,52.502162,-0.690547
821,3940.0,37,506.0,1216,504,Police Service of Northern Ireland,249,1010,77,64,54.0,468,23,1517443200.0,254,2616,54.59497,-5.922687
822,3622.0,134,730.0,1827,321,Northumbria Police,263,1247,117,1655,49.0,1082,138,1517443200.0,599,4179,54.967838,-1.754552
823,2053.0,88,637.0,974,249,Nottinghamshire Police,184,1032,70,381,91.0,838,85,1517443200.0,724,2369,53.145769,-1.268696
824,2171.0,104,500.0,989,324,South Wales Police,162,706,34,732,40.0,816,100,1517443200.0,674,2751,51.637363,-3.648881
825,3320.0,95,1056.0,1328,169,South Yorkshire Police,262,1173,68,864,107.0,976,176,1517443200.0,1012,2942,53.59872,-1.461068
826,2446.0,83,458.0,778,140,Staffordshire Police,145,632,68,291,81.0,615,25,1517443200.0,459,2322,52.769868,-1.943961
827,598.0,50,344.0,485,97,Suffolk Constabulary,76,351,37,310,22.0,317,38,1517443200.0,351,1444,52.160886,0.71043
828,1685.0,104,522.0,648,161,Surrey Police,137,715,45,537,21.0,346,47,1517443200.0,557,1489,51.407868,-0.370967
829,2249.0,135,573.0,982,228,Sussex Police,156,892,113,626,69.0,626,80,1517443200.0,496,2875,50.84423,-0.244128
830,2086.0,287,1037.0,1358,434,Thames Valley Police,239,1528,89,379,105.0,1222,277,1517443200.0,1292,2962,51.998128,-0.985426
831,1033.0,43,296.0,329,62,Warwickshire Police,61,334,31,130,29.0,275,41,1517443200.0,317,957,52.639577,-1.636309
832,2973.0,65,564.0,747,144,West Mercia Police,110,616,59,268,36.0,598,57,1517443200.0,345,2148,52.432283,-2.10837
833,2999.0,179,2388.0,2026,357,West Midlands Police,283,1784,167,949,565.0,1599,238,1517443200.0,3057,5100,52.594185,-1.838265
834,3546.0,129,2263.0,2219,484,West Yorkshire Police,574,1907,189,1773,294.0,1503,343,1517443200.0,1810,7273,53.944327,-1.886875
835,957.0,62,260.0,415,71,Wiltshire Police,61,353,21,171,44.0,359,36,1517443200.0,219,1049,51.634046,-1.720719
836,2827.0,177,744.0,1462,232,Avon and Somerset Constabulary,152,1091,59,1442,104.0,834,94,1519862400.0,830,4069,51.415233,-2.497799
837,1374.0,64,504.0,457,51,Bedfordshire Police,41,437,24,203,58.0,284,63,1519862400.0,545,1089,52.224664,-0.533857
838,1393.0,250,367.0,587,104,Cambridgeshire Constabulary,75,589,43,313,52.0,444,106,1519862400.0,449,1558,52.228485,0.136532
839,1655.0,99,363.0,753,126,Cheshire Constabulary,132,574,45,1209,19.0,611,39,1519862400.0,258,2650,53.335696,-2.028703
840,133.0,19,43.0,28,31,City of London Police,4,118,5,47,8.0,89,61,1519862400.0,8,113,51.517577,-0.098062
841,3037.0,43,409.0,763,102,Cleveland Police,100,520,29,290,56.0,801,34,1519862400.0,438,1641,54.71119,-1.235446
842,806.0,19,188.0,393,79,Cumbria Constabulary,77,235,17,229,14.0,257,14,1519862400.0,102,1154,54.877725,-3.380599
843,2886.0,46,520.0,627,188,Derbyshire Constabulary,110,537,48,142,48.0,510,58,1519862400.0,463,1331,53.099173,-1.376719
844,2820.0,41,399.0,1165,291,Devon & Cornwall Police,158,822,78,614,53.0,630,62,1519862400.0,518,3570,50.827132,-4.543901
845,2026.0,97,393.0,558,106,Dorset Police,58,513,24,211,26.0,332,42,1519862400.0,307,1431,50.771593,-1.896978
846,1418.0,29,321.0,764,113,Durham Constabulary,132,442,25,400,26.0,407,20,1519862400.0,335,2023,54.89599,-1.732115
847,882.0,8,111.0,357,150,Dyfed-Powys Police,55,243,6,126,8.0,126,6,1519862400.0,93,875,52.101675,-4.059557
848,3878.0,146,1028.0,1299,339,Essex Police,306,1137,219,910,144.0,967,134,1519862400.0,1291,4216,51.636915,0.407541
849,1695.0,62,302.0,368,82,Gloucestershire Constabulary,54,345,17,119,37.0,301,63,1519862400.0,356,851,51.908526,-2.088146
850,5144.0,249,2566.0,3198,438,Greater Manchester Police,701,2407,255,4060,735.0,1589,669,1519862400.0,2499,8924,53.619073,-2.423752
851,751.0,15,,653,100,Gwent Police,82,325,13,604,14.0,270,22,1519862400.0,267,1243,51.802661,-3.210621
852,3615.0,295,885.0,1547,267,Hampshire Constabulary,249,1124,119,1234,89.0,1107,96,1519862400.0,1158,4859,51.357251,-1.133567
853,1991.0,77,517.0,769,309,Hertfordshire Constabulary,137,718,315,556,66.0,720,127,1519862400.0,688,2028,51.776773,-0.008469
854,1354.0,144,673.0,1036,95,Humberside Police,185,643,33,522,55.0,859,62,1519862400.0,457,2667,54.103989,-0.201317
855,2368.0,119,1063.0,1860,259,Kent Police,527,1526,113,1890,129.0,1131,107,1519862400.0,1103,6990,51.18331,0.937911
856,4270.0,102,1110.0,1525,169,Lancashire Constabulary,315,1210,46,872,91.0,864,125,1519862400.0,873,4843,53.770335,-2.474098
857,1094.0,99,693.0,785,133,Leicestershire Police,151,872,71,475,73.0,537,49,1519862400.0,701,2220,52.626506,-1.201724
858,1459.0,49,359.0,414,104,Lincolnshire Police,93,319,33,134,20.0,356,16,1519862400.0,215,840,53.051902,0.084476
859,2845.0,135,949.0,1370,617,Merseyside Police,282,864,70,1010,118.0,729,128,1519862400.0,793,3703,53.486621,-2.875002
860,16043.0,1029,6375.0,4588,2585,Metropolitan Police Service,922,8965,575,3996,2601.0,3744,3655,1519862400.0,8990,18758,51.593835,0.145888
861,1232.0,72,310.0,552,180,Norfolk Constabulary,123,506,45,384,39.0,354,40,1519862400.0,287,1855,52.745153,0.946326
862,1184.0,33,306.0,549,102,North Wales Police,86,364,31,365,18.0,296,14,1519862400.0,186,2254,53.31958,-3.811975
863,2237.0,57,303.0,483,117,North Yorkshire Police,79,361,20,162,14.0,407,41,1519862400.0,186,1153,54.113705,-2.513759
864,1673.0,50,483.0,508,124,Northamptonshire Police,80,460,56,177,100.0,381,53,1519862400.0,565,1660,52.502162,-0.690547
865,4622.0,42,502.0,1399,598,Police Service of Northern Ireland,230,1114,95,88,44.0,542,30,1519862400.0,354,3048,54.59497,-5.922687
866,4031.0,122,700.0,1990,306,Northumbria Police,336,1436,107,1953,62.0,1146,169,1519862400.0,726,4687,54.967838,-1.754552
867,2361.0,88,704.0,980,274,Nottinghamshire Police,202,984,72,575,95.0,917,96,1519862400.0,799,2670,53.145769,-1.268696
868,2295.0,105,529.0,1056,333,South Wales Police,163,722,53,879,28.0,791,101,1519862400.0,573,2969,51.637363,-3.648881
869,4034.0,105,1106.0,1530,184,South Yorkshire Police,290,1224,93,1116,149.0,1033,213,1519862400.0,1145,3577,53.59872,-1.461068
870,2863.0,93,543.0,892,154,Staffordshire Police,173,755,67,377,76.0,642,39,1519862400.0,482,2638,52.769868,-1.943961
871,623.0,74,334.0,547,107,Suffolk Constabulary,114,347,31,372,30.0,320,40,1519862400.0,369,1652,52.160886,0.71043
872,1855.0,103,533.0,735,180,Surrey Police,152,749,57,590,29.0,395,56,1519862400.0,564,1618,51.407868,-0.370967
873,2683.0,109,559.0,1043,233,Sussex Police,163,1071,143,725,66.0,703,108,1519862400.0,604,3202,50.84423,-0.244128
874,2447.0,278,1079.0,1540,482,Thames Valley Police,297,1628,97,494,109.0,1326,288,1519862400.0,1338,3813,51.998128,-0.985426
875,1151.0,40,324.0,292,62,Warwickshire Police,50,310,27,123,35.0,284,45,1519862400.0,407,1075,52.639577,-1.636309
876,3420.0,72,637.0,714,114,West Mercia Police,123,694,57,317,36.0,568,86,1519862400.0,422,2488,52.432283,-2.10837
877,3678.0,205,2404.0,1968,348,West Midlands Police,259,2007,168,983,625.0,1612,270,1519862400.0,2836,5725,52.594185,-1.838265
878,4260.0,140,2251.0,2549,493,West Yorkshire Police,593,2002,173,2132,289.0,1656,333,1519862400.0,2026,8777,53.944327,-1.886875
879,1275.0,31,280.0,453,62,Wiltshire Police,58,358,21,209,23.0,336,29,1519862400.0,234,1239,51.634046,-1.720719
880,3156.0,259,870.0,1323,214,Avon and Somerset Constabulary,154,1205,70,1602,112.0,1098,90,1522537200.0,927,4121,51.415233,-2.497799
881,1582.0,70,506.0,513,69,Bedfordshire Police,61,456,35,269,62.0,330,49,1522537200.0,622,1041,52.224664,-0.533857
882,1343.0,284,372.0,639,91,Cambridgeshire Constabulary,95,585,47,333,60.0,442,72,1522537200.0,432,1487,52.228485,0.136532
883,1829.0,88,336.0,749,163,Cheshire Constabulary,135,552,42,1294,33.0,534,39,1522537200.0,270,2814,53.335696,-2.028703
884,113.0,31,32.0,16,32,City of London Police,14,123,11,37,6.0,82,39,1522537200.0,17,110,51.517577,-0.098062
885,3066.0,64,431.0,739,121,Cleveland Police,103,524,25,262,36.0,839,42,1522537200.0,348,1725,54.71119,-1.235446
886,789.0,14,177.0,435,86,Cumbria Constabulary,59,269,19,211,8.0,245,22,1522537200.0,97,1128,54.877725,-3.380599
887,3009.0,55,554.0,636,209,Derbyshire Constabulary,112,508,56,135,51.0,477,45,1522537200.0,407,1415,53.099173,-1.376719
888,3240.0,68,426.0,1189,309,Devon & Cornwall Police,190,877,90,581,35.0,590,69,1522537200.0,510,3452,50.827132,-4.543901
889,2228.0,105,373.0,618,138,Dorset Police,41,545,26,237,37.0,369,31,1522537200.0,275,1527,50.771593,-1.896978
890,1411.0,33,315.0,745,98,Durham Constabulary,129,477,31,382,10.0,402,24,1522537200.0,274,2097,54.89599,-1.732115
891,1049.0,8,126.0,380,180,Dyfed-Powys Police,50,276,14,113,4.0,168,6,1522537200.0,104,913,52.101675,-4.059557
892,4194.0,155,991.0,1418,323,Essex Police,216,1101,186,996,108.0,887,132,1522537200.0,1390,4612,51.636915,0.407541
893,1636.0,50,289.0,379,65,Gloucestershire Constabulary,18,351,12,101,37.0,328,30,1522537200.0,353,906,51.908526,-2.088146
894,6013.0,312,2463.0,3284,404,Greater Manchester Police,645,2071,308,4110,651.0,1622,542,1522537200.0,2743,8952,53.619073,-2.423752
895,,32,342.0,717,117,Gwent Police,140,402,17,660,23.0,359,37,1522537200.0,331,1319,51.802661,-3.210621
896,1206.0,307,897.0,1558,271,Hampshire Constabulary,195,1106,134,1136,88.0,1183,95,1522537200.0,1154,4599,51.357251,-1.133567
897,1903.0,97,518.0,747,297,Hertfordshire Constabulary,113,744,314,578,66.0,777,83,1522537200.0,793,1989,51.776773,-0.008469
898,1341.0,156,639.0,1001,92,Humberside Police,199,677,47,545,58.0,822,50,1522537200.0,540,2766,54.103989,-0.201317
899,2553.0,141,897.0,1995,272,Kent Police,491,1472,102,2050,166.0,1079,88,1522537200.0,1122,7100,51.18331,0.937911
900,4398.0,108,1020.0,1720,225,Lancashire Constabulary,282,1310,53,1113,76.0,805,158,1522537200.0,946,5503,53.770335,-2.474098
901,1238.0,113,676.0,897,139,Leicestershire Police,149,949,73,484,93.0,568,50,1522537200.0,748,2278,52.626506,-1.201724
902,1596.0,57,326.0,406,135,Lincolnshire Police,90,330,33,171,23.0,415,17,1522537200.0,202,1226,53.051902,0.084476
903,3063.0,120,874.0,1350,637,Merseyside Police,218,897,77,1035,131.0,751,187,1522537200.0,735,3841,53.486621,-2.875002
904,19832.0,1331,6358.0,4775,2767,Metropolitan Police Service,838,8984,566,4000,2540.0,3863,3369,1522537200.0,8941,18154,51.593835,0.145888
905,1351.0,91,294.0,624,210,Norfolk Constabulary,112,449,41,416,37.0,375,47,1522537200.0,299,1773,52.745153,0.946326
906,1226.0,41,297.0,597,84,North Wales Police,108,429,18,385,21.0,399,15,1522537200.0,156,2021,53.31958,-3.811975
907,2338.0,65,263.0,514,157,North Yorkshire Police,57,384,23,175,22.0,404,37,1522537200.0,193,1214,54.113705,-2.513759
908,1918.0,71,491.0,596,131,Northamptonshire Police,79,473,49,151,55.0,381,43,1522537200.0,600,1597,52.502162,-0.690547
909,4707.0,52,498.0,1394,496,Police Service of Northern Ireland,201,1072,84,85,38.0,484,26,1522537200.0,312,2963,54.59497,-5.922687
910,4567.0,161,708.0,1982,297,Northumbria Police,297,1485,118,2003,66.0,1243,173,1522537200.0,740,4585,54.967838,-1.754552
911,2568.0,115,714.0,957,219,Nottinghamshire Police,181,1056,71,537,102.0,919,74,1522537200.0,837,2721,53.145769,-1.268696
912,2642.0,115,481.0,1093,317,South Wales Police,154,796,47,848,23.0,935,89,1522537200.0,673,2960,51.637363,-3.648881
913,4289.0,80,1027.0,1555,211,South Yorkshire Police,303,1168,117,995,134.0,1012,193,1522537200.0,1101,3908,53.59872,-1.461068
914,3143.0,95,478.0,855,142,Staffordshire Police,127,780,77,335,79.0,658,40,1522537200.0,505,2552,52.769868,-1.943961
915,826.0,82,320.0,555,96,Suffolk Constabulary,75,381,35,443,40.0,369,50,1522537200.0,279,1596,52.160886,0.71043
916,1944.0,100,542.0,716,178,Surrey Police,166,719,58,595,28.0,373,54,1522537200.0,541,1601,51.407868,-0.370967
917,2986.0,183,613.0,1176,261,Sussex Police,158,1086,138,796,80.0,730,117,1522537200.0,735,3181,50.84423,-0.244128
918,2764.0,397,1110.0,1638,460,Thames Valley Police,223,1771,136,513,114.0,1357,216,1522537200.0,1474,4078,51.998128,-0.985426
919,1225.0,45,321.0,374,68,Warwickshire Police,67,306,35,147,29.0,273,25,1522537200.0,378,1070,52.639577,-1.636309
920,3718.0,71,648.0,897,172,West Mercia Police,115,757,57,333,43.0,690,56,1522537200.0,439,2546,52.432283,-2.10837
921,4090.0,225,2111.0,2197,390,West Midlands Police,290,2034,160,996,634.0,1672,257,1522537200.0,2885,5686,52.594185,-1.838265
922,4533.0,172,2199.0,2614,513,West Yorkshire Police,580,2139,192,2154,268.0,1774,335,1522537200.0,1957,8785,53.944327,-1.886875
923,1261.0,46,241.0,477,80,Wiltshire Police,50,351,31,203,19.0,362,32,1522537200.0,238,1162,51.634046,-1.720719
924,3306.0,328,896.0,1229,225,Avon and Somerset Constabulary,146,1214,75,1729,110.0,1101,89,1525129200.0,933,4213,51.415233,-2.497799
925,1955.0,149,467.0,595,87,Bedfordshire Police,59,534,29,317,61.0,383,46,1525129200.0,579,1428,52.224664,-0.533857
926,1434.0,124,148.0,196,32,Cambridgeshire Constabulary,34,189,11,119,21.0,138,21,1525129200.0,135,461,52.228485,0.136532
927,2089.0,127,309.0,751,175,Cheshire Constabulary,129,598,48,1385,42.0,645,47,1525129200.0,251,2832,53.335696,-2.028703
928,139.0,24,29.0,18,32,City of London Police,11,133,9,34,7.0,69,36,1525129200.0,25,114,51.517577,-0.098062
929,3434.0,94,456.0,764,122,Cleveland Police,90,543,24,361,55.0,672,54,1525129200.0,313,1757,54.71119,-1.235446
930,917.0,29,183.0,486,72,Cumbria Constabulary,63,308,25,264,7.0,213,17,1525129200.0,124,1376,54.877725,-3.380599
931,3565.0,81,526.0,710,187,Derbyshire Constabulary,108,666,41,173,67.0,514,55,1525129200.0,467,1721,53.099173,-1.376719
932,3918.0,84,469.0,1223,322,Devon & Cornwall Police,179,936,83,718,39.0,694,75,1525129200.0,423,3967,50.827132,-4.543901
933,2451.0,101,349.0,633,144,Dorset Police,47,631,26,306,48.0,414,51,1525129200.0,248,1679,50.771593,-1.896978
934,1790.0,32,371.0,792,112,Durham Constabulary,175,546,32,532,28.0,451,29,1525129200.0,270,2446,54.89599,-1.732115
935,1246.0,17,142.0,392,180,Dyfed-Powys Police,38,264,17,115,7.0,159,3,1525129200.0,84,967,52.101675,-4.059557
936,4525.0,198,1019.0,1438,295,Essex Police,295,1193,221,1087,148.0,973,122,1525129200.0,1268,4836,51.636915,0.407541
937,1923.0,79,274.0,375,75,Gloucestershire Constabulary,36,308,24,139,28.0,311,23,1525129200.0,328,899,51.908526,-2.088146
938,6245.0,386,2534.0,3155,371,Greater Manchester Police,744,2207,311,4480,660.0,1479,574,1525129200.0,2685,9647,53.619073,-2.423752
939,168.0,48,326.0,831,110,Gwent Police,139,465,17,809,30.0,333,40,1525129200.0,270,1566,51.802661,-3.210621
940,1452.0,385,925.0,1625,267,Hampshire Constabulary,264,1146,122,1431,82.0,1185,100,1525129200.0,994,5198,51.357251,-1.133567
941,2564.0,126,525.0,764,279,Hertfordshire Constabulary,133,775,231,574,69.0,788,119,1525129200.0,710,2300,51.776773,-0.008469
942,1701.0,191,695.0,1127,79,Humberside Police,227,780,56,674,82.0,888,50,1525129200.0,494,2996,54.103989,-0.201317
943,2694.0,187,984.0,1974,215,Kent Police,464,1559,110,2419,152.0,1262,74,1525129200.0,1083,7844,51.18331,0.937911
944,5236.0,97,1093.0,1966,197,Lancashire Constabulary,293,1598,69,1475,81.0,803,183,1525129200.0,847,6624,53.770335,-2.474098
945,1636.0,181,651.0,868,170,Leicestershire Police,157,829,76,619,74.0,655,81,1525129200.0,796,2501,52.626506,-1.201724
946,1835.0,89,404.0,625,142,Lincolnshire Police,83,490,45,243,37.0,535,29,1525129200.0,261,1604,53.051902,0.084476
947,3371.0,165,914.0,1383,645,Merseyside Police,237,936,105,1292,130.0,807,208,1525129200.0,785,4443,53.486621,-2.875002
948,18523.0,1812,6386.0,5019,2815,Metropolitan Police Service,967,9698,643,4415,2607.0,3930,3177,1525129200.0,8895,20698,51.593835,0.145888
949,1421.0,124,329.0,600,181,Norfolk Constabulary,143,481,55,515,31.0,354,36,1525129200.0,222,2009,52.745153,0.946326
950,1282.0,36,312.0,624,108,North Wales Police,93,457,30,412,12.0,354,25,1525129200.0,152,2206,53.31958,-3.811975
951,2329.0,90,315.0,553,195,North Yorkshire Police,77,461,30,232,17.0,382,38,1525129200.0,234,1433,54.113705,-2.513759
952,2144.0,93,442.0,579,143,Northamptonshire Police,96,477,69,164,50.0,351,51,1525129200.0,526,1974,52.502162,-0.690547
953,5495.0,71,517.0,1427,548,Police Service of Northern Ireland,256,1139,103,93,42.0,505,35,1525129200.0,282,3216,54.59497,-5.922687
954,4868.0,201,841.0,2174,285,Northumbria Police,383,1472,126,2299,59.0,1334,209,1525129200.0,669,4894,54.967838,-1.754552
955,2904.0,160,804.0,1105,266,Nottinghamshire Police,214,1161,91,649,93.0,971,106,1525129200.0,787,3163,53.145769,-1.268696
956,2891.0,190,594.0,1143,357,South Wales Police,190,903,55,1017,40.0,888,77,1525129200.0,693,3322,51.637363,-3.648881
957,4145.0,82,1065.0,1594,209,South Yorkshire Police,303,1311,127,1187,158.0,939,180,1525129200.0,975,4475,53.59872,-1.461068
958,3575.0,116,595.0,959,143,Staffordshire Police,157,850,75,369,76.0,696,44,1525129200.0,425,2786,52.769868,-1.943961
959,759.0,85,315.0,555,126,Suffolk Constabulary,93,414,35,448,31.0,339,46,1525129200.0,233,1839,52.160886,0.71043
960,2127.0,104,469.0,829,218,Surrey Police,153,803,37,735,38.0,398,48,1525129200.0,576,1877,51.407868,-0.370967
961,3138.0,188,545.0,1125,290,Sussex Police,194,1131,150,960,89.0,693,105,1525129200.0,631,3605,50.84423,-0.244128
962,3135.0,545,1094.0,1689,491,Thames Valley Police,462,1961,128,627,152.0,1469,307,1525129200.0,1348,4909,51.998128,-0.985426
963,1362.0,71,319.0,383,75,Warwickshire Police,80,383,36,219,23.0,291,46,1525129200.0,440,1161,52.639577,-1.636309
964,4101.0,98,580.0,824,189,West Mercia Police,127,731,76,352,36.0,704,74,1525129200.0,490,2729,52.432283,-2.10837
965,4348.0,296,2085.0,2231,359,West Midlands Police,301,2101,202,1205,599.0,1667,240,1525129200.0,3138,6360,52.594185,-1.838265
966,5386.0,255,2101.0,2768,493,West Yorkshire Police,654,2225,214,2621,318.0,1681,311,1525129200.0,2062,9613,53.944327,-1.886875
967,1516.0,85,255.0,501,118,Wiltshire Police,84,413,31,264,26.0,379,37,1525129200.0,222,1354,51.634046,-1.720719
968,3629.0,296,927.0,1292,182,Avon and Somerset Constabulary,177,1227,68,1772,132.0,928,89,1527807600.0,945,4599,51.415233,-2.497799
969,1942.0,124,611.0,533,100,Bedfordshire Police,102,498,61,339,58.0,326,100,1527807600.0,595,1562,52.224664,-0.533857
970,1583.0,505,398.0,690,107,Cambridgeshire Constabulary,111,594,48,397,65.0,454,91,1527807600.0,479,1671,52.228485,0.136532
971,2199.0,131,371.0,723,153,Cheshire Constabulary,126,568,36,1325,21.0,528,31,1527807600.0,240,2703,53.335696,-2.028703
972,152.0,43,38.0,19,31,City of London Police,12,131,3,41,4.0,71,62,1527807600.0,18,104,51.517577,-0.098062
973,3045.0,117,504.0,712,101,Cleveland Police,114,589,46,406,31.0,687,47,1527807600.0,424,1812,54.71119,-1.235446
974,944.0,28,172.0,494,80,Cumbria Constabulary,66,334,39,320,11.0,250,17,1527807600.0,105,1333,54.877725,-3.380599
975,3463.0,158,519.0,718,188,Derbyshire Constabulary,118,595,59,231,60.0,490,73,1527807600.0,464,1660,53.099173,-1.376719
